OBJECTID,省,省代码,市,市代码,县,县代码,年度,县类型,市类型,省类型,x,y,县代码_,area,人口,标记,dem,road,resid_sum,gaia_sum,crop_sum,bare_sum,mj,resid_lv,crop_lv,gaia_lv,bare_lv,pop_lv,population,class,forest_sum,cfg_sum,gaia_resid,black_revise,forest_lv,cfg_lv,gaia_crop_sum,gaia_c_lv,geo_subdivision,peo_subdivision,pop,eco_subdivision,pl,geo_subdivision1,geo_subdivision2,worldpop,landscan,geo_subdivision3,geo_subdivision4,city_lv,town_lv,gj_lv,city_sum,town_sum,gj_sum,geo_subdivision6,lake_lv,black_revise1,Shape_Length,Shape_Area,区县,lake_sum,pop2010,pop2000
1,安徽省,340000,安庆市,340800,大观区,340803,0,市辖区,地级市,省,116.9120026,30.4878998,340803,274.3750000,167860.000000000000000, ,23.808450704199998,0.000000000000000,27691.000000000000000,17213.000000000000000,135270.000000000000000,0.000000000000000,274.374825462624930,0.090831526195900,0.443710250569476,0.056461776765376,0.000000000000000,611.790432801822360,214112.000000000000000,1,19508.000000000000000,0.000000000000000,0.000000000000000,3.847996347218004,0.063989794988610,0.000000000000000,0.000000000000000,0.056461776765376,3,6,167860.000000000000000,4.000000000000000,2,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,4,4.000000000000000,0.035799908883827,0.054451025056948,0.000580592255125,10914.000000000000000,16600.000000000000000,177.0000000,4.000000000000000,0.290089476082005,3.847996347218004,105025.252735879840000,274374825.462624910000000,大观,88437.000000000000000,275003.000000000000000,167860.000000000000000
2,安徽省,340000,安庆市,340800,怀宁县,340822,0,县,地级市,省,116.7549973,30.5876999,340822,1257.9100342,673677.000000000000000, ,48.381818181800000,0.000000000000000,88462.000000000000000,37895.000000000000000,917845.000000000000000,0.000000000000000,1257.909390847953800,0.063292125697939,0.656692829816477,0.027112829274981,0.000000000000000,535.552608449713600,496683.000000000000000,3,238733.000000000000000,0.000000000000000,0.000000000000000,0.036059219100178,0.170806889333795,0.000000000000000,0.000000000000000,0.027112829274981,3,6,673677.000000000000000,4.000000000000000,2,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.002545651050545,0.059749106023320,0.000997368624075,3558.000000000000000,83510.000000000000000,1394.0000000,1.000000000000000,0.040369818683509,0.036059219100178,213382.892105719370000,1257909390.847953800000000,怀宁,56424.000000000000000,592750.000000000000000,673677.000000000000000
3,安徽省,340000,安庆市,340800,潜山市,340882,2018,县级市,地级市,省,116.5410004,30.7548008,340882,1687.4499512,515261.000000000000000, ,266.490778228000010,0.000000000000000,40034.000000000000000,17883.000000000000000,677086.000000000000000,957.000000000000000,1687.448198306960200,0.021352099939307,0.361123243730464,0.009537882879918,0.000510415138180,305.348908062232740,441224.000000000000000,2,1044969.000000000000000,0.000000000000000,0.000000000000000,0.153668520920361,0.557333329706683,0.000000000000000,0.000000000000000,0.009537882879918,3,6,515261.000000000000000,4.000000000000000,3,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.001689650112597,0.019198436064727,0.000464013761982,3168.000000000000000,35996.000000000000000,870.0000000,3.000000000000000,0.021143560420990,0.153668520920361,235488.057323035430000,1687448198.306960100000000,潜山,39643.000000000000000,500292.000000000000000,515261.000000000000000
4,安徽省,340000,安庆市,340800,宿松县,340826,0,县,地级市,省,116.2409973,30.1040001,340826,2376.4499512,649975.000000000000000, ,59.792935839300000,0.000000000000000,76793.000000000000000,7357.000000000000000,1281326.000000000000000,210.000000000000000,2376.450487077189300,0.029082750076819,0.485258862460511,0.002786214789306,0.000079530393605,273.506706791567130,612586.000000000000000,3,446741.000000000000000,0.000000000000000,0.000000000000000,0.076404356326017,0.169188036045839,0.000000000000000,0.000000000000000,0.002786214789306,3,6,649975.000000000000000,4.000000000000000,3,3.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.001687937925233,0.027394812151586,0.000000000000000,4457.000000000000000,72336.000000000000000,0.0000000,4.000000000000000,0.287467909712605,0.076404356326017,244682.314878627750000,2376450487.077189400000000,宿松,759059.000000000000000,571025.000000000000000,649975.000000000000000
5,安徽省,340000,安庆市,340800,太湖县,340825,0,县,地级市,省,116.1729965,30.4950008,340825,2039.7900391,498882.000000000000000, ,234.014210920000010,0.000000000000000,44547.000000000000000,13409.000000000000000,615763.000000000000000,0.000000000000000,2039.789094402212400,0.019655111179201,0.271688109750113,0.005916344216264,0.000000000000000,244.575172172764040,430465.000000000000000,3,1350981.000000000000000,0.000000000000000,0.000000000000000,0.207247416222488,0.596082379419221,0.000000000000000,0.000000000000000,0.005916344216264,3,6,498882.000000000000000,4.000000000000000,3,3.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.000988337015768,0.016961892811234,0.001704881352200,2240.000000000000000,38443.000000000000000,3864.0000000,3.000000000000000,0.062788521145473,0.207247416222488,279996.377505261510000,2039789094.402212400000000,太湖,142306.000000000000000,515283.000000000000000,498882.000000000000000
6,安徽省,340000,安庆市,340800,桐城市,340881,0,县级市,地级市,省,116.9349976,30.9839001,340881,1537.5000000,660772.000000000000000, ,105.206777996000000,0.000000000000000,89425.000000000000000,46193.000000000000000,995649.000000000000000,0.000000000000000,1537.496904843296500,0.052346341463415,0.582818926829268,0.027039804878049,0.000000000000000,429.770406504065020,593629.000000000000000,2,453751.000000000000000,0.000000000000000,0.000000000000000,0.135669211018881,0.265610341463415,0.000000000000000,0.000000000000000,0.027039804878049,3,6,660772.000000000000000,4.000000000000000,2,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.003170341463415,0.049176000000000,0.000000000000000,5416.000000000000000,84009.000000000000000,0.0000000,1.000000000000000,0.072213658536585,0.135669211018881,199523.123344840830000,1537496904.843296500000000,桐城,123365.000000000000000,664455.000000000000000,660772.000000000000000
7,安徽省,340000,安庆市,340800,望江县,340827,0,县,地级市,省,116.6770020,30.2411995,340827,1321.1899414,479099.000000000000000, ,21.897510133200001,0.000000000000000,121690.000000000000000,11200.000000000000000,964142.000000000000000,0.000000000000000,1321.191930978496200,0.082895726471720,0.656777479759199,0.007629485877913,0.000000000000000,362.626890339519210,462367.000000000000000,3,92782.000000000000000,0.000000000000000,0.000000000000000,0.069872658584765,0.063203478457549,0.000000000000000,0.000000000000000,0.007629485877913,3,6,479099.000000000000000,4.000000000000000,2,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.002502062645498,0.080393663826222,0.000000000000000,3673.000000000000000,118017.000000000000000,0.0000000,1.000000000000000,0.171714522560266,0.069872658584765,170960.004385964160000,1321191930.978496300000000,望江,252075.000000000000000,526712.000000000000000,479099.000000000000000
8,安徽省,340000,安庆市,340800,宜秀区,340811,0,市辖区,地级市,省,117.0660019,30.6513996,340811,418.2699890,264670.000000000000000, ,65.629562043799993,0.000000000000000,25461.000000000000000,17010.000000000000000,184886.000000000000000,0.000000000000000,418.270436380345700,0.054784948960923,0.397822947786390,0.036600761235824,0.000000000000000,632.773105773430980,196672.000000000000000,1,85994.000000000000000,0.000000000000000,0.000000000000000,1.573724745282198,0.185035030083094,0.000000000000000,0.000000000000000,0.036600761235824,3,6,264670.000000000000000,4.000000000000000,2,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.012073302251276,0.037394746003373,0.005316900706274,5611.000000000000000,17379.000000000000000,2471.0000000,4.000000000000000,0.219914415129108,1.573724745282198,97552.851786007901000,418270436.380345700000000,宜秀,102204.000000000000000,254431.000000000000000,264670.000000000000000
9,安徽省,340000,安庆市,340800,迎江区,340802,0,市辖区,地级市,省,117.1709976,30.5557995,340802,206.9210052,150221.000000000000000, ,11.516483516499999,0.000000000000000,18926.000000000000000,11719.000000000000000,119488.000000000000000,0.000000000000000,206.921185457879370,0.082318370624098,0.519711374254053,0.050971625559749,0.000000000000000,725.982361332593430,253694.000000000000000,1,512.000000000000000,0.000000000000000,0.000000000000000,1.452961473203909,0.002226936793804,0.000000000000000,0.000000000000000,0.050971625559749,3,6,150221.000000000000000,4.000000000000000,1,3.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,4,4.000000000000000,0.032590698039013,0.049727672585085,0.000000000000000,7493.000000000000000,11433.000000000000000,0.0000000,4.000000000000000,0.350338042833098,1.452961473203909,88846.239170962101000,206921185.457879360000000,迎江,80547.000000000000000,251080.000000000000000,150221.000000000000000
10,安徽省,340000,安庆市,340800,岳西县,340828,0,县,地级市,省,116.2080002,30.8983002,340828,2368.9199219,361632.000000000000000, ,650.160178685000010,0.000000000000000,9638.000000000000000,2246.000000000000000,472849.000000000000000,406.000000000000000,2368.917581916994100,0.003661668729239,0.179644780758636,0.000853300266224,0.000154247510279,152.656911979434200,323837.000000000000000,3,1797394.000000000000000,0.000000000000000,0.000000000000000,0.316027699935568,0.682865885445223,0.000000000000000,0.000000000000000,0.000853300266224,3,6,361632.000000000000000,4.000000000000000,3,3.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000,0.001173192886064,0.002461501524874,0.000026974318300,3088.000000000000000,6479.000000000000000,71.0000000,3.000000000000000,0.001823235965098,0.316027699935568,259881.741301630480000,2368917581.916994100000000,岳西,4799.000000000000000,321636.000000000000000,361632.000000000000000
